ID,Name,Rating
1,Agile Web Development with Rails: A Pragmatic Guide,5
1,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",5
1,Siddhartha,5
1,The Clock of the Long Now: Time and Responsibility,4
1,"Ready Player One (Ready Player One, #1)",4
1,"The Hunger Games (The Hunger Games, #1)",5
1,"The Clue in the Embers (Hardy Boys, #35)",5
1,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,5
1,"The Clue of the Broken Blade (Hardy Boys, #21)",5
1,"The Clue of the Hissing Serpent (Hardy Boys, #53)",5
1,"The Clue of the Screeching Owl (Hardy Boys, #41)",5
1,"The Return of the Indian (The Indian in the Cupboard, #2)",5
1,The Name of the Rose,3
1,"Blue Mars (Mars Trilogy, #3)",3
1,Give and Take: A Revolutionary Approach to Success,5
1,Mindset: The New Psychology Of Success,4
1,Bad Blood: Secrets and Lies in a Silicon Valley Startup,4
1,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, #2)",3
1,A Short History of Nearly Everything,5
1,"The Mystery of the Spiral Bridge (Hardy Boys, #45)",5
1,"The Collapsing Empire (The Interdependency, #1)",4
1,"Showdown at Centerpoint (Star Wars: The Corellian Trilogy, #3)",3
1,"The Mysterious Caravan (Hardy Boys, #54)",5
1,"Angels & Demons (Robert Langdon, #1)",4
1,"The Return of the King (The Lord of the Rings, #3)",5
1,"The Girl with the Dragon Tattoo (Millennium, #1)",5
1,"The Murder on the Links (Hercule Poirot, #2)",3
1,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",5
1,"Thunderball (James Bond, #9)",4
1,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,4
1,"La Belle Sauvage (The Book of Dust, #1)",4
1,"Mockingjay (The Hunger Games, #3)",3
1,"Moonraker (James Bond, #3)",4
1,Moon Handbooks South Korea,4
1,King Leopold's Ghost,4
1,Concurrent Programming In Java: Design Principles And Patterns,4
1,"Simplicity Parenting: Using the Extraordinary Power of Less to Raise Calmer, Happier, and More Secure Kids",5
1,"Pirate (Alexander Hawke, #3)",1
1,Babar and His Children,5
1,Conartist,5
1,"Kiss the Girls (Alex Cross, #2)",3
1,The Rails Way,4
1,The BFG,4
1,"The Golden Compass (His Dark Materials, #1)",5
1,The Razor's Edge,5
1,"Ready-to-Use Old-Fashioned Illustrations of Books, Reading and Writing",4
1,Monsoon (Courtney #10),3
1,Babar and Zephir,5
1,To Kill a Mockingbird,5
1,Babar the King,5
1,The Goal: A Process of Ongoing Improvement,5
1,The Chronicles of Narnia: Including an Essay on Writing by C.S. Lewis,4
1,A River Runs Through It,5
1,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",5
1,"The Religion (Tannhauser, #1)",4
1,The Giving Tree,5
1,The Remains of the Day,5
1,The Circle,4
1,"A Dance with Dragons (A Song of Ice and Fire, #5)",5
1,"Danger on Vampire Trail (Hardy Boys, #50)",5
1,The Godfather,5
1,Where the Red Fern Grows,5
1,"The Rise of Endymion (Hyperion Cantos, #4)",5
1,"Go To: The Story of the Math Majors, Bridge Players, Engineers, Chess Wizards, Maverick Scientists, and Iconoclasts-- the Programmers Who Created the Software Revolution",3
1,"Red Rabbit (Jack Ryan, #2)",3
1,The Anubis Gates,4
1,"The Complete Sherlock Holmes, Volume II",4
1,Leadership on the Line: Staying Alive Through the Dangers of Leading,5
1,Red Sparrow (Red Sparrow Trilogy #1),3
1,Personal History,5
1,Street Boys,4
1,Pride and Prejudice,5
1,Business @ the Speed of Thought: Succeeding in the Digital Economy,4
1,Personal Finance for Dummies,4
1,"A Clash of Kings (A Song of Ice and Fire, #2)",5
1,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",4
1,"The Amber Spyglass (His Dark Materials, #3)",4
1,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",4
1,Fear and Loathing in Las Vegas,3
1,The Worlds of a Maasai Warrior: An Autobiography,5
1,Frankenstein,4
1,Blood Diamonds: Tracing the Deadly Path of the World's Most Precious Stones,4
1,White Hunters: The Golden Age of African Safaris,4
1,The Garden of the Gods (Corfu Trilogy #3),5
1,The Complete Works,5
1,Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),5
1,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",5
1,The Indispensable Calvin and Hobbes,5
1,The Scarlet Letter,3
1,In Search of Captain Zero: A Surfer's Road Trip Beyond the End of the Road,4
1,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,4
1,Homo Deus: A History of Tomorrow,4
1,Streets of Laredo,3
1,Killing Rommel,4
1,Stranger in a Strange Land,5
1,"Where'd You Go, Bernadette",5
1,Dune,5
1,Shoe Dog: A Memoir by the Creator of NIKE,5
1,Where the Sidewalk Ends,5
1,Phenomena: The Secret History of the U.S. Government's Investigations into Extrasensory Perception and Psychokinesis,3
1,Dark Matter,3
1,Go the Fuck to Sleep,5
1,Reamde,5
1,"A Storm of Swords (A Song of Ice and Fire, #3)",5
1,"Go, Dog. Go!",5
1,"The Color of Magic (Discworld, #1; Rincewind, #1)",3
1,Last Call: The Rise and Fall of Prohibition,3
1,"The Hunt for Red October (Jack Ryan, #3)",4
1,Think and Grow Rich,5
1,"The Complete Sherlock Holmes, Volume I",5
1,Dune Messiah (Dune Chronicles #2),4
1,"God Emperor of Dune (Dune Chronicles, #4)",4
1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",5
1,"The Girl Who Played with Fire (Millennium, #2)",3
1,"Shift (Shift, #1-3; Silo, #2)",3
1,Where the Wild Things Are,5
1,Coders at Work: Reflections on the Craft of Programming,3
